,Superclass1,Superclass2,pathway,
PWY-5691,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,urate degradation to allantoin I,
PWY-5692,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,allantoin degradation to glyoxylate II,
PWY-5694,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,allantoin degradation to glyoxylate I,
PWY-5695,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,urate biosynthesis/inosine 5'-phosphate degradation,
PWY-5697,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,allantoin degradation to ureidoglycolate I (urea producing),
PWY-5698,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,allantoin degradation to ureidoglycolate II (ammonia producing),
PWY-5701,Biosynthesis,Secondary Metabolite Biosynthesis,shikonin biosynthesis,
PWY-5703,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,urea degradation I,
PWY-5704,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,urea degradation II,
PWY-5705,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,allantoin degradation to glyoxylate III,
PWY-5706,Biosynthesis,Secondary Metabolite Biosynthesis,alliin metabolism,
PWY-5707,Biosynthesis,Secondary Metabolite Biosynthesis,propanethial S-oxide biosynthesis,
PWY-5708,Biosynthesis,Secondary Metabolite Biosynthesis,ethiin metabolism,
PWY-5710,Biosynthesis,Secondary Metabolite Biosynthesis,capsaicin biosynthesis,
PWY-5717,Superpathways,Superpathways,superpathway of formononetin derivative biosynthesis,
PWY-5723,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,Rubisco shunt,
PWY-5724,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,superpathway of atrazine degradation,
PWY-5725,Biosynthesis,Secondary Metabolite Biosynthesis,farnesene biosynthesis,
PWY-5726,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,deethylsimazine degradation,
PWY-5727,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,atrazine degradation II,
PWY-5729,Biosynthesis,Secondary Metabolite Biosynthesis,vestitol and sativan biosynthesis,
PWY-5731,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,atrazine degradation III,
PWY-5733,Biosynthesis,Secondary Metabolite Biosynthesis,germacrene biosynthesis,
PWY-5736,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,isopropylamine degradation,
PWY-5737,Biosynthesis,Secondary Metabolite Biosynthesis,(5R)-carbapenem carboxylate biosynthesis,
PWY-5738,Biosynthesis,Carbohydrate Biosynthesis,GDP-6-deoxy-D-talose biosynthesis,
PWY-5739,Biosynthesis,Carbohydrate Biosynthesis,GDP-D-perosamine biosynthesis,
PWY-5740,Biosynthesis,Carbohydrate Biosynthesis,GDP-L-colitose biosynthesis,
PWY-5741,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,ethylmalonyl-CoA pathway,
PWY-5742,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation IX (arginine:pyruvate transaminase pathway),
PWY-5743,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,3-hydroxypropanoate cycle,
PWY-5744,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,glyoxylate assimilation,
PWY-5747,Degradation/Utilization/Assimilation,Carboxylate Degradation,2-methylcitrate cycle II,
PWY-5748,Biosynthesis,Secondary Metabolite Biosynthesis,&gamma;-coniciene and coniine biosynthesis,
PWY-5749,Degradation/Utilization/Assimilation,Carboxylate Degradation,itaconate degradation,
PWY-5750,Biosynthesis,Carbohydrate Biosynthesis,itaconate biosynthesis,
PWY-5751,Biosynthesis,Aromatic Compound Biosynthesis,phenylethanol biosynthesis,
PWY-5752,Biosynthesis,Secondary Metabolite Biosynthesis,piperine biosynthesis,
PWY-5754,Biosynthesis,Aromatic Compound Biosynthesis,4-hydroxybenzoate biosynthesis I (eukaryotes),
PWY-5755,Biosynthesis,Aromatic Compound Biosynthesis,4-hydroxybenzoate biosynthesis II (microbes),
PWY-5756,Biosynthesis,Secondary Metabolite Biosynthesis,saponin biosynthesis II,
PWY-5757,Biosynthesis,Secondary Metabolite Biosynthesis,fosfomycin biosynthesis,
PWY-5759,Biosynthesis,Secondary Metabolite Biosynthesis,saponin biosynthesis III,
PWY-5760,Biosynthesis,Amino Acid Biosynthesis,&beta;-alanine biosynthesis IV,
PWY-5765,Biosynthesis,Aromatic Compound Biosynthesis,"1,3,5-trimethoxybenzene biosynthesis",
PWY-5766,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamate degradation X,
PWY-5768,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate VIII,
PWY-5770,Biosynthesis,Secondary Metabolite Biosynthesis,phenazine-1-carboxylate biosynthesis,
PWY-5773,Biosynthesis,Secondary Metabolite Biosynthesis,gossypol biosynthesis,
PWY-5774,Biosynthesis,Secondary Metabolite Biosynthesis,saponin biosynthesis IV,
PWY-5775,Biosynthesis,Secondary Metabolite Biosynthesis,rotenoid biosynthesis I,
PWY-5776,Biosynthesis,Secondary Metabolite Biosynthesis,2-hydroxyphenazine biosynthesis,
PWY-5780,Biosynthesis,Secondary Metabolite Biosynthesis,hypericin biosynthesis,
PWY-5782,Biosynthesis,Carbohydrate Biosynthesis,2-keto-L-gulonate biosynthesis,
PWY-5783,Biosynthesis,Polyprenyl Biosynthesis,octaprenyl diphosphate biosynthesis,
PWY-5784,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate conjugate biosynthesis II,
PWY-5785,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","di-trans,poly-cis-undecaprenyl phosphate biosynthesis",
PWY-5787,Biosynthesis,Aromatic Compound Biosynthesis,oligomeric urushiol biosynthesis,
PWY-5788,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation V,
PWY-5789,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,3-hydroxypropanoate/4-hydroxybutanate cycle,
PWY-5793,Biosynthesis,Secondary Metabolite Biosynthesis,maysin biosynthesis,
PWY-5794,Degradation/Utilization/Assimilation,Carboxylate Degradation,malonate degradation I (biotin-independent),
PWY-5795,Biosynthesis,Secondary Metabolite Biosynthesis,juglone biosynthesis,
PWY-5796,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",malonate decarboxylase activation,
PWY-5797,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation VI,
PWY-5800,Biosynthesis,Cell Structure Biosynthesis,xylan biosynthesis,
PWY-5801,Biosynthesis,Secondary Metabolite Biosynthesis,lawsone biosynthesis,
PWY-5802,Biosynthesis,Secondary Metabolite Biosynthesis,alizarin biosynthesis,
PWY-5805,Biosynthesis,Polyprenyl Biosynthesis,nonaprenyl diphosphate biosynthesis I,
PWY-5806,Biosynthesis,Polyprenyl Biosynthesis,all-trans-decaprenyl diphosphate biosynthesis,
PWY-5807,Biosynthesis,Polyprenyl Biosynthesis,heptaprenyl diphosphate biosynthesis,
PWY-5808,Biosynthesis,Secondary Metabolite Biosynthesis,hyperforin and adhyperforin biosynthesis,
PWY-581,Biosynthesis,Secondary Metabolite Biosynthesis,indole-3-acetate biosynthesis II,
PWY-5811,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation VII,
PWY-5813,Biosynthesis,Secondary Metabolite Biosynthesis,bornyl diphosphate biosynthesis,
PWY-5815,Biosynthesis,Secondary Metabolite Biosynthesis,rubber biosynthesis,
PWY-5816,Biosynthesis,Polyprenyl Biosynthesis,all trans undecaprenyl diphosphate biosynthesis,
PWY-5817,Biosynthesis,Polyprenyl Biosynthesis,dodecaprenyl diphosphate biosynthesis,
PWY-5818,Biosynthesis,Secondary Metabolite Biosynthesis,validamycin A biosynthesis,
PWY-5821,Biosynthesis,Secondary Metabolite Biosynthesis,dalcochinin biosynthesis,
PWY-5822,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,trichloroethylene degradation,
PWY-5823,Biosynthesis,Carbohydrate Biosynthesis,superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis,
PWY-5825,Biosynthesis,Secondary Metabolite Biosynthesis,dalpatein and dalnigrein biosynthesis,
PWY-5826,Biosynthesis,Secondary Metabolite Biosynthesis,hypoglycin biosynthesis,
PWY-5827,Biosynthesis,Secondary Metabolite Biosynthesis,heliocides biosynthesis,
PWY-5828,Biosynthesis,Secondary Metabolite Biosynthesis,lacinilene C biosynthesis,
PWY-5829,Biosynthesis,Secondary Metabolite Biosynthesis,geraniol and geranial biosynthesis,
PWY-5830,Biosynthesis,Carbohydrate Biosynthesis,CDP-ascarylose biosynthesis,
PWY-5831,Biosynthesis,Carbohydrate Biosynthesis,CDP-abequose biosynthesis,
PWY-5832,Biosynthesis,Carbohydrate Biosynthesis,CDP-paratose biosynthesis,
PWY-5833,Biosynthesis,Carbohydrate Biosynthesis,"CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis",
PWY-5834,Biosynthesis,Carbohydrate Biosynthesis,CDP-tyvelose biosynthesis,
PWY-5835,Activation/Inactivation/Interconversion,Interconversions,geranyl acetate biosynthesis,
PWY-5837,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","1,4-dihydroxy-2-naphthoate biosynthesis I",
PWY-5838,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-8 biosynthesis I,
PWY-5839,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-7 biosynthesis,
PWY-5840,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-7 biosynthesis,
PWY-5843,Biosynthesis,Secondary Metabolite Biosynthesis,cocaine biosynthesis,
PWY-5844,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-9 biosynthesis,
PWY-5845,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-9 biosynthesis,
PWY-5846,Biosynthesis,Secondary Metabolite Biosynthesis,colchicine biosynthesis,
PWY-5848,Biosynthesis,Secondary Metabolite Biosynthesis,cinchona alkaloids biosynthesis,
PWY-5849,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-6 biosynthesis,
PWY-5850,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-6 biosynthesis I,
PWY-5851,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",demethylmenaquinol-9 biosynthesis,
PWY-5852,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",demethylmenaquinol-8 biosynthesis I,
PWY-5853,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",demethylmenaquinol-6 biosynthesis I,
PWY-5855,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-7 biosynthesis (prokaryotic),
PWY-5856,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-9 biosynthesis (prokaryotic),
PWY-5857,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-10 biosynthesis (prokaryotic),
PWY-5859,Biosynthesis,Secondary Metabolite Biosynthesis,eugenol and isoeugenol biosynthesis,
PWY-5860,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of demethylmenaquinol-6 biosynthesis I,
PWY-5861,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of demethylmenaquinol-8 biosynthesis,
PWY-5862,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of demethylmenaquinol-9 biosynthesis,
PWY-5863,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of phylloquinol biosynthesis,
PWY-5864,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of plastoquinol biosynthesis,
PWY-5867,Biosynthesis,Secondary Metabolite Biosynthesis,t-anethole biosynthesis,
PWY-5870,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-8 biosynthesis (eukaryotic),
PWY-5871,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-9 biosynthesis (eukaryotic),
PWY-5872,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-10 biosynthesis (eukaryotic),
PWY-5873,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-7 biosynthesis (eukaryotic),
PWY-5874,Degradation/Utilization/Assimilation,"Cofactor, Prosthetic Group, Electron Carrier Degradation",heme degradation,
PWY-5875,Biosynthesis,Secondary Metabolite Biosynthesis,staphyloxanthin biosynthesis,
PWY-5876,Biosynthesis,Secondary Metabolite Biosynthesis,magnoflorine biosynthesis,
PWY-5877,Biosynthesis,Secondary Metabolite Biosynthesis,beta-carboline biosynthesis,
PWY-5882,Biosynthesis,Secondary Metabolite Biosynthesis,epoxypseudoisoeugenol-2-methylbutanoate biosynthesis,
PWY-5883,Biosynthesis,Secondary Metabolite Biosynthesis,ephedrine biosynthesis,
PWY-5884,Biosynthesis,Fatty Acid and Lipid Biosynthesis,wax esters biosynthesis I,
PWY-5885,Biosynthesis,Fatty Acid and Lipid Biosynthesis,wax esters biosynthesis II,
PWY-5886,Biosynthesis,Aromatic Compound Biosynthesis,4-hydroxyphenylpyruvate biosynthesis,
PWY-5887,Biosynthesis,Secondary Metabolite Biosynthesis,albaflavenone biosynthesis,
PWY-5888,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",rhodoquinone-10 biosynthesis,
PWY-5889,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",rhodoquinone-9 biosynthesis,
PWY-5890,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-10 biosynthesis,
PWY-5891,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-11 biosynthesis,
PWY-5892,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-12 biosynthesis,
PWY-5893,Biosynthesis,Polyprenyl Biosynthesis,tridecaprenyl diphosphate biosynthesis,
PWY-5895,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-13 biosynthesis,
PWY-5896,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-10 biosynthesis,
PWY-5897,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-11 biosynthesis,
PWY-5898,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-12 biosynthesis,
PWY-5899,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of menaquinol-13 biosynthesis,
PWY-5901,Biosynthesis,Aromatic Compound Biosynthesis,"2,3-dihydroxybenzoate biosynthesis",
PWY-5903,Biosynthesis,Secondary Metabolite Biosynthesis,bacillibactin biosynthesis,
PWY-5905,Biosynthesis,Amino Acid Biosynthesis,hypusine biosynthesis,
PWY-5907,Biosynthesis,Amine and Polyamine Biosynthesis,homospermidine biosynthesis,
PWY-5910,Biosynthesis,Polyprenyl Biosynthesis,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),
PWY-5912,Biosynthesis,Secondary Metabolite Biosynthesis,2'-deoxymugineic acid phytosiderophore biosynthesis,
PWY-5913,Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle VI (obligate autotrophs),
PWY-5915,Biosynthesis,Tetrapyrrole Biosynthesis,phycoerythrobilin biosynthesis I,
PWY-5917,Biosynthesis,Tetrapyrrole Biosynthesis,phycocyanobilin biosynthesis,
PWY-5918,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathay of heme biosynthesis from glutamate,
PWY-5920,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of heme biosynthesis from glycine,
PWY-5921,Biosynthesis,Aminoacyl-tRNA Charging,glutaminyl-tRNAgln biosynthesis via transamidation,
PWY-5922,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,(4R)-carveol and (4R)-dihydrocarveol degradation,
PWY-5923,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,limonene degradation I (D-limonene),
PWY-5924,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,limonene degradation II (L-limonene),
PWY-5925,Biosynthesis,Secondary Metabolite Biosynthesis,hydroxylated mugineic acid phytosiderophore biosynthesis,
PWY-5926,Activation/Inactivation/Interconversion,Interconversions,afrormosin conjugates interconversion,
PWY-5927,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,(4S)-carveol and (4S)-dihydrocarveol degradation,
PWY-5928,Biosynthesis,Secondary Metabolite Biosynthesis,(4R)-carvone biosynthesis,
PWY-5929,Biosynthesis,Secondary Metabolite Biosynthesis,puromycin biosynthesis,
PWY-5930,Biosynthesis,Secondary Metabolite Biosynthesis,terpentecin biosynthesis,
PWY-5934,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,iron reduction and absorption,
PWY-5935,Biosynthesis,Secondary Metabolite Biosynthesis,tuberculosinol biosynthesis,
PWY-5936,Biosynthesis,Carbohydrate Biosynthesis,xyloglucan biosynthesis,
PWY-5938,Generation of Precursor Metabolites and Energy,Fermentation,(R)-acetoin biosynthesis I,
PWY-5939,Generation of Precursor Metabolites and Energy,Fermentation,(R)-acetoin biosynthesis II,
PWY-5940,Biosynthesis,Secondary Metabolite Biosynthesis,streptomycin biosynthesis,
PWY-5941,Degradation/Utilization/Assimilation,Carbohydrate Degradation,glycogen degradation II (eukaryotic),
PWY-5942,Biosynthesis,Secondary Metabolite Biosynthesis,trans-lycopene biosynthesis I (bacteria),
PWY-5943,Biosynthesis,Secondary Metabolite Biosynthesis,&beta;-carotene biosynthesis,
PWY-5944,Biosynthesis,Secondary Metabolite Biosynthesis,zeaxanthin biosynthesis,
PWY-5945,Activation/Inactivation/Interconversion,Interconversions,"zeaxanthin, antheraxanthin and violaxanthin interconversion",
PWY-5946,Biosynthesis,Secondary Metabolite Biosynthesis,&delta;-carotene biosynthesis,
PWY-5947,Biosynthesis,Secondary Metabolite Biosynthesis,lutein biosynthesis,
PWY-5950,Biosynthesis,Secondary Metabolite Biosynthesis,geosmin biosynthesis,
PWY-5951,Biosynthesis,Other Biosynthesis,"(R,R)-butanediol biosynthesis",
PWY-5954,Biosynthesis,Secondary Metabolite Biosynthesis,"(1'S,5'S)-averufin biosynthesis",
PWY-5955,Biosynthesis,Secondary Metabolite Biosynthesis,versicolorin B biosynthesis,
PWY-5956,Biosynthesis,Secondary Metabolite Biosynthesis,sterigmatocystin biosynthesis,
PWY-5957,Biosynthesis,Amino Acid Biosynthesis,L-nicotianamine biosynthesis,
PWY-5958,Biosynthesis,Secondary Metabolite Biosynthesis,acridone alkaloid biosynthesis,
PWY-5959,Biosynthesis,Secondary Metabolite Biosynthesis,aflatoxins B1 and G1 biosynthesis,
